"Date","Price","Open","High","Low","Vol.","Change %"
"20/06/2025","201.00","198.24","201.70","196.85","96.81M","2.25%"
"18/06/2025","196.58","195.94","197.57","195.07","45.39M","0.48%"
"17/06/2025","195.64","197.20","198.39","195.21","38.86M","-1.40%"
"16/06/2025","198.42","197.30","198.68","196.56","43.02M","1.00%"
"13/06/2025","196.45","199.73","200.37","195.70","51.45M","-1.38%"
"12/06/2025","199.20","199.08","199.68","197.36","43.90M","0.21%"
"11/06/2025","198.78","203.50","204.50","198.41","60.99M","-1.92%"
"10/06/2025","202.67","200.60","204.35","200.57","54.67M","0.61%"
"09/06/2025","201.45","204.39","206.00","200.02","72.86M","-1.21%"
"06/06/2025","203.92","203.00","205.70","202.05","46.61M","1.64%"
"05/06/2025","200.63","203.50","204.75","200.15","55.22M","-1.08%"
"04/06/2025","202.82","202.91","206.24","202.10","43.60M","-0.22%"
"03/06/2025","203.27","201.35","203.77","200.96","46.38M","0.78%"
"02/06/2025","201.70","200.28","202.13","200.12","35.42M","0.42%"
"30/05/2025","200.85","199.37","201.96","196.78","70.82M","0.45%"
"29/05/2025","199.95","203.57","203.81","198.51","51.48M","-0.23%"
"28/05/2025","200.42","200.59","202.73","199.90","45.34M","0.10%"
"27/05/2025","200.21","198.30","200.74","197.43","56.29M","2.53%"
"23/05/2025","195.27","193.66","197.70","193.46","78.43M","-3.02%"
"22/05/2025","201.36","200.71","202.75","199.70","46.74M","-0.36%"
"21/05/2025","202.09","205.17","207.04","200.71","59.21M","-2.31%"
"20/05/2025","206.86","207.67","208.47","205.03","42.50M","-0.92%"
"19/05/2025","208.78","207.91","209.48","204.26","46.14M","-1.17%"
"16/05/2025","211.26","212.36","212.57","209.77","54.74M","-0.09%"
"15/05/2025","211.45","210.95","212.96","209.54","45.03M","-0.41%"
"14/05/2025","212.33","212.43","213.94","210.58","49.33M","-0.28%"
"13/05/2025","212.93","210.43","213.40","209.00","51.91M","1.02%"
"12/05/2025","210.79","210.97","211.27","206.75","63.78M","6.18%"
"09/05/2025","198.53","199.00","200.54","197.54","36.45M","0.53%"
"08/05/2025","197.49","197.72","200.05","194.68","50.48M","0.63%"
"07/05/2025","196.25","199.17","199.44","193.25","68.62M","-1.14%"
"06/05/2025","198.51","198.21","200.65","197.02","51.22M","-0.19%"
"05/05/2025","198.89","203.10","204.10","198.21","69.02M","-3.15%"
"02/05/2025","205.35","206.09","206.99","202.16","101.01M","-3.74%"
"01/05/2025","213.32","209.08","214.56","208.90","57.37M","0.39%"
"30/04/2025","212.50","209.30","213.58","206.67","52.29M","0.61%"
"29/04/2025","211.21","208.69","212.24","208.37","36.83M","0.51%"
"28/04/2025","210.14","210.00","211.50","207.46","38.74M","0.41%"
"25/04/2025","209.28","206.37","209.75","206.20","38.22M","0.44%"
"24/04/2025","208.37","204.89","208.83","202.94","47.31M","1.84%"
"23/04/2025","204.60","206.00","208.00","202.80","52.93M","2.43%"
"22/04/2025","199.74","196.12","201.59","195.97","52.98M","3.41%"
"21/04/2025","193.16","193.26","193.80","189.81","46.74M","-1.94%"
"17/04/2025","196.98","197.20","198.83","194.42","52.16M","1.39%"
"16/04/2025","194.27","198.36","200.70","192.37","59.73M","-3.89%"
"15/04/2025","202.14","201.85","203.51","199.80","51.34M","-0.19%"
"14/04/2025","202.52","211.44","212.94","201.16","101.35M","2.21%"
"11/04/2025","198.15","186.10","199.54","186.06","87.44M","4.06%"
"10/04/2025","190.42","189.07","194.78","183.00","121.88M","-4.24%"
"09/04/2025","198.85","171.95","200.61","171.89","184.40M","15.33%"
"08/04/2025","172.42","186.70","190.34","169.21","120.86M","-4.98%"
"07/04/2025","181.46","177.20","194.15","174.62","160.47M","-3.67%"
"04/04/2025","188.38","193.89","199.88","187.34","125.91M","-7.29%"
"03/04/2025","203.19","205.54","207.49","201.25","103.42M","-9.25%"
"02/04/2025","223.89","221.32","225.19","221.02","35.91M","0.31%"
"01/04/2025","223.19","219.80","223.68","218.90","36.41M","0.48%"
"31/03/2025","222.13","217.01","225.62","216.23","65.30M","1.94%"
"28/03/2025","217.90","221.67","223.81","217.68","39.82M","-2.66%"
