"Date","Price","Open","High","Low","Vol.","Change %"
"20-06-2025","322.16","327.95","332.36","317.78","108.69M","0.03%"
"18-06-2025","322.05","317.31","329.32","315.45","95.14M","1.80%"
"17-06-2025","316.35","326.09","327.26","314.74","88.28M","-3.88%"
"16-06-2025","329.13","331.29","332.05","326.41","83.93M","1.17%"
"13-06-2025","325.31","313.97","332.99","313.30","128.96M","1.94%"
"12-06-2025","319.11","323.08","332.56","316.86","105.13M","-2.24%"
"11-06-2025","326.43","334.39","335.50","322.50","122.61M","0.10%"
"10-06-2025","326.09","314.94","327.83","310.67","151.26M","5.67%"
"09-06-2025","308.58","285.95","309.83","281.85","140.91M","4.55%"
"06-06-2025","295.14","298.83","305.50","291.14","164.75M","3.67%"
"05-06-2025","284.70","322.49","324.55","273.21","292.82M","-14.26%"
"04-06-2025","332.05","345.10","345.60","327.33","98.91M","-3.55%"
"03-06-2025","344.27","346.60","355.40","343.04","99.32M","0.46%"
"02-06-2025","342.69","343.50","348.02","333.33","81.87M","-1.09%"
"30-05-2025","346.46","355.52","363.68","345.29","123.47M","-3.34%"
"29-05-2025","358.43","365.29","367.71","356.00","88.55M","0.43%"
"28-05-2025","356.90","364.84","365.00","355.91","91.40M","-1.65%"
"27-05-2025","362.89","347.35","363.79","347.32","120.15M","6.94%"
"23-05-2025","339.34","337.92","343.18","333.21","84.65M","-0.50%"
"22-05-2025","341.04","331.90","347.27","331.39","97.11M","1.92%"
"21-05-2025","334.62","344.43","347.35","332.20","102.35M","-2.68%"
"20-05-2025","343.82","347.87","354.99","341.63","131.72M","0.51%"
"19-05-2025","342.09","336.30","343.00","333.37","88.87M","-2.25%"
"16-05-2025","349.98","346.24","351.62","342.33","95.90M","2.09%"
"15-05-2025","342.82","340.34","346.14","334.72","97.88M","-1.40%"
"14-05-2025","347.68","342.50","350.00","337.00","137.00M","4.07%"
"13-05-2025","334.07","320.00","337.59","316.80","136.99M","4.93%"
"12-05-2025","318.38","321.99","322.21","311.50","112.83M","6.75%"
"09-05-2025","298.26","290.21","307.04","290.00","132.39M","4.72%"
"08-05-2025","284.82","279.63","289.80","279.41","97.54M","3.11%"
"07-05-2025","276.22","276.88","277.92","271.00","71.88M","0.32%"
"06-05-2025","275.35","273.11","277.73","271.35","76.72M","-1.75%"
